session_id,respID,qID,profileID,altID,obsID,choice,time_total,time_cbc_total,screenout,time_min_total,time_min_cbc,price,capacity,range,type,compatability
87a62be706f889a8bfd472d36af4681d,1,1,16,1,1,1,187,22,red,3.1166666666666667,0.36666666666666664,25,1,0.1,Card,Android
87a62be706f889a8bfd472d36af4681d,1,1,249,2,1,0,187,22,red,3.1166666666666667,0.36666666666666664,100,1,1,Implantable,iOS/Android
87a62be706f889a8bfd472d36af4681d,1,1,88,3,1,0,187,22,red,3.1166666666666667,0.36666666666666664,25,5,0.1,Card,Android
87a62be706f889a8bfd472d36af4681d,1,2,6,1,2,1,187,22,red,3.1166666666666667,0.36666666666666664,50,1,0.1,Ring,iOS
87a62be706f889a8bfd472d36af4681d,1,2,285,2,2,0,187,22,red,3.1166666666666667,0.36666666666666664,100,3,1,Implantable,iOS/Android
87a62be706f889a8bfd472d36af4681d,1,2,288,3,2,0,187,22,red,3.1166666666666667,0.36666666666666664,100,3,1,Card,iOS/Android
87a62be706f889a8bfd472d36af4681d,1,3,54,1,3,1,187,22,red,3.1166666666666667,0.36666666666666664,50,3,0.1,Ring,Android
87a62be706f889a8bfd472d36af4681d,1,3,273,2,3,0,187,22,red,3.1166666666666667,0.36666666666666664,100,3,1,Implantable,Android
87a62be706f889a8bfd472d36af4681d,1,3,297,3,3,0,187,22,red,3.1166666666666667,0.36666666666666664,100,5,1,Implantable,iOS
87a62be706f889a8bfd472d36af4681d,1,4,48,1,4,0,187,22,red,3.1166666666666667,0.36666666666666664,100,3,0.1,Card,iOS
87a62be706f889a8bfd472d36af4681d,1,4,71,2,4,0,187,22,red,3.1166666666666667,0.36666666666666664,100,3,0.1,Bracelet,iOS/Android
87a62be706f889a8bfd472d36af4681d,1,4,109,3,4,1,187,22,red,3.1166666666666667,0.36666666666666664,25,1,0.5,Implantable,iOS
87a62be706f889a8bfd472d36af4681d,1,5,20,1,5,1,187,22,red,3.1166666666666667,0.36666666666666664,50,1,0.1,Card,Android
87a62be706f889a8bfd472d36af4681d,1,5,204,2,5,0,187,22,red,3.1166666666666667,0.36666666666666664,100,5,0.5,Card,Android
87a62be706f889a8bfd472d36af4681d,1,5,175,3,5,0,187,22,red,3.1166666666666667,0.36666666666666664,50,3,0.5,Bracelet,iOS/Android
87a62be706f889a8bfd472d36af4681d,1,6,276,1,6,0,187,22,red,3.1166666666666667,0.36666666666666664,100,3,1,Card,Android
