session_id,respID,qID,profileID,altID,obsID,choice,time_total,time_cbc_total,screenout,time_min_total,time_min_cbc,price,capacity,range,type,compatability
3634a469d311d6178675049c2059e20a,1,1,315,1,1,0,217,65,red,3.6166666666666667,1.0833333333333333,25,5,1,Bracelet,iOS/Android
3634a469d311d6178675049c2059e20a,1,1,122,2,1,1,217,65,red,3.6166666666666667,1.0833333333333333,25,1,0.5,Ring,Android
3634a469d311d6178675049c2059e20a,1,1,286,3,1,0,217,65,red,3.6166666666666667,1.0833333333333333,100,3,1,Ring,iOS/Android
3634a469d311d6178675049c2059e20a,1,2,243,1,2,1,217,65,red,3.6166666666666667,1.0833333333333333,25,1,1,Bracelet,iOS/Android
3634a469d311d6178675049c2059e20a,1,2,109,2,2,0,217,65,red,3.6166666666666667,1.0833333333333333,25,1,0.5,Implantable,iOS
3634a469d311d6178675049c2059e20a,1,2,294,3,2,0,217,65,red,3.6166666666666667,1.0833333333333333,50,5,1,Ring,iOS
3634a469d311d6178675049c2059e20a,1,3,206,1,3,0,217,65,red,3.6166666666666667,1.0833333333333333,25,5,0.5,Ring,iOS/Android
3634a469d311d6178675049c2059e20a,1,3,321,2,3,1,217,65,red,3.6166666666666667,1.0833333333333333,100,5,1,Implantable,iOS/Android
3634a469d311d6178675049c2059e20a,1,3,293,3,3,0,217,65,red,3.6166666666666667,1.0833333333333333,50,5,1,Implantable,iOS
3634a469d311d6178675049c2059e20a,1,4,95,1,4,0,217,65,red,3.6166666666666667,1.0833333333333333,100,5,0.1,Bracelet,Android
3634a469d311d6178675049c2059e20a,1,4,120,2,4,1,217,65,red,3.6166666666666667,1.0833333333333333,100,1,0.5,Card,iOS
3634a469d311d6178675049c2059e20a,1,4,168,3,4,0,217,65,red,3.6166666666666667,1.0833333333333333,100,3,0.5,Card,Android
3634a469d311d6178675049c2059e20a,1,5,161,1,5,1,217,65,red,3.6166666666666667,1.0833333333333333,50,3,0.5,Implantable,Android
3634a469d311d6178675049c2059e20a,1,5,201,2,5,0,217,65,red,3.6166666666666667,1.0833333333333333,100,5,0.5,Implantable,Android
3634a469d311d6178675049c2059e20a,1,5,99,3,5,0,217,65,red,3.6166666666666667,1.0833333333333333,25,5,0.1,Bracelet,iOS/Android
3634a469d311d6178675049c2059e20a,1,6,153,1,6,0,217,65,red,3.6166666666666667,1.0833333333333333,100,3,0.5,Implantable,iOS
3634a469d311d6178675049c2059e20a,1,6,277,2,6,1,217,65,red,3.6166666666666667,1.0833333333333333,25,3,1,Implantable,iOS/Android
3634a469d311d6178675049c2059e20a,1,6,245,3,6,0,217,65,red,3.6166666666666667,1.0833333333333333,50,1,1,Implantable,iOS/Android
11e0f30a0a378ccdc56be378ae6db7b5,2,1,127,1,7,0,200,74,red,3.3333333333333335,1.2333333333333334,50,1,0.5,Bracelet,Android
11e0f30a0a378ccdc56be378ae6db7b5,2,1,146,2,7,1,200,74,red,3.3333333333333335,1.2333333333333334,25,3,0.5,Ring,iOS
11e0f30a0a378ccdc56be378ae6db7b5,2,1,269,3,7,0,200,74,red,3.3333333333333335,1.2333333333333334,50,3,1,Implantable,Android
11e0f30a0a378ccdc56be378ae6db7b5,2,2,215,1,8,0,200,74,red,3.3333333333333335,1.2333333333333334,100,5,0.5,Bracelet,iOS/Android
11e0f30a0a378ccdc56be378ae6db7b5,2,2,204,2,8,0,200,74,red,3.3333333333333335,1.2333333333333334,100,5,0.5,Card,Android
11e0f30a0a378ccdc56be378ae6db7b5,2,2,310,3,8,1,200,74,red,3.3333333333333335,1.2333333333333334,100,5,1,Ring,Android
11e0f30a0a378ccdc56be378ae6db7b5,2,3,49,1,9,0,200,74,red,3.3333333333333335,1.2333333333333334,25,3,0.1,Implantable,Android
11e0f30a0a378ccdc56be378ae6db7b5,2,3,125,2,9,1,200,74,red,3.3333333333333335,1.2333333333333334,50,1,0.5,Implantable,Android
11e0f30a0a378ccdc56be378ae6db7b5,2,3,98,3,9,0,200,74,red,3.3333333333333335,1.2333333333333334,25,5,0.1,Ring,iOS/Android
11e0f30a0a378ccdc56be378ae6db7b5,2,4,176,1,10,1,200,74,red,3.3333333333333335,1.2333333333333334,50,3,0.5,Card,iOS/Android
11e0f30a0a378ccdc56be378ae6db7b5,2,4,276,2,10,0,200,74,red,3.3333333333333335,1.2333333333333334,100,3,1,Card,Android
11e0f30a0a378ccdc56be378ae6db7b5,2,4,91,3,10,0,200,74,red,3.3333333333333335,1.2333333333333334,50,5,0.1,Bracelet,Android
11e0f30a0a378ccdc56be378ae6db7b5,2,5,85,1,11,0,200,74,red,3.3333333333333335,1.2333333333333334,25,5,0.1,Implantable,Android
11e0f30a0a378ccdc56be378ae6db7b5,2,5,239,2,11,1,200,74,red,3.3333333333333335,1.2333333333333334,100,1,1,Bracelet,Android
11e0f30a0a378ccdc56be378ae6db7b5,2,5,70,3,11,0,200,74,red,3.3333333333333335,1.2333333333333334,100,3,0.1,Ring,iOS/Android
11e0f30a0a378ccdc56be378ae6db7b5,2,6,68,1,12,0,200,74,red,3.3333333333333335,1.2333333333333334,50,3,0.1,Card,iOS/Android
11e0f30a0a378ccdc56be378ae6db7b5,2,6,105,2,12,0,200,74,red,3.3333333333333335,1.2333333333333334,100,5,0.1,Implantable,iOS/Android
11e0f30a0a378ccdc56be378ae6db7b5,2,6,8,3,12,1,200,74,red,3.3333333333333335,1.2333333333333334,50,1,0.1,Card,iOS
7d138757bfc1bb36874d7db1e64958e4,3,1,228,1,13,0,94,32,red,1.5666666666666667,0.5333333333333333,100,1,1,Card,iOS
7d138757bfc1bb36874d7db1e64958e4,3,1,64,2,13,1,94,32,red,1.5666666666666667,0.5333333333333333,25,3,0.1,Card,iOS/Android
7d138757bfc1bb36874d7db1e64958e4,3,1,97,3,13,0,94,32,red,1.5666666666666667,0.5333333333333333,25,5,0.1,Implantable,iOS/Android
7d138757bfc1bb36874d7db1e64958e4,3,2,130,1,14,0,94,32,red,1.5666666666666667,0.5333333333333333,100,1,0.5,Ring,Android
7d138757bfc1bb36874d7db1e64958e4,3,2,240,2,14,1,94,32,red,1.5666666666666667,0.5333333333333333,100,1,1,Card,Android
7d138757bfc1bb36874d7db1e64958e4,3,2,238,3,14,0,94,32,red,1.5666666666666667,0.5333333333333333,100,1,1,Ring,Android
7d138757bfc1bb36874d7db1e64958e4,3,3,35,1,15,1,94,32,red,1.5666666666666667,0.5333333333333333,100,1,0.1,Bracelet,iOS/Android
